Nombre;Fecha;Valor1Euro;VariacionPorc;VariacionMes;VariacionAño;ValorenEuros
Bahts;23/03/2022;36,965;0,23%;0,99%;0,40%;0,027052617
Bolívares;11/02/2022;5,0793;-1,29%;-3,17%;-100,00%;0,196877522
Bolivianos;23/03/2022;7,5659;0,14%;-2,72%;-7,61%;0,132171982
Cedi;22/03/2022;7,8423;-0,16%;7,64%;14,73%;0,127513612
Chelines kenianos;23/03/2022;126,0109;-0,29%;-2,35%;-3,75%;0,007935821
Chelines ugandeses;23/03/2022;3.991,03;0,35%;0,12%;0,42%;0,000250562
Coronas checas;23/03/2022;24,605;-0,30%;0,54%;-6,08%;0,040642146
Coronas danesas;23/03/2022;7,4381;-0,03%;-0,01%;0,03%;0,134442936
Coronas islandesas;22/03/2022;142,7;0;1,06%;-5,58%;0,007007708
Coronas noruegas;23/03/2022;9,6425;0,20%;-3,90%;-5,26%;0,103707545
Coronas suecas;23/03/2022;10,4005;0,18%;-1,56%;2,15%;0,096149224
Dinares;25/01/2019;0,4266;0,04%;-0,60%;-8,55%;2,344116268
Dinares;23/03/2022;117,7241;0,01%;0,11%;0,12%;0,008494437
Dinares argelinos;22/03/2022;157,4431;0,16%;-1,37%;-1,38%;0,006351501
Dinares kuwaities;22/03/2022;0,3352;-0,04%;-2,51%;-6,91%;2,983293556
Dinares tunecinos;18/03/2022;3,2717;0,35%;-0,14%;-0,55%;0,305651496
Dirhams de Emiratos Árabes Unido;22/03/2022;4,0486;-0,13%;-2,80%;-7,56%;0,246998963
Dirhams marroquies;23/03/2022;10,6877;-0,19%;-0,01%;0,13%;0,093565501
Dólares australianos;23/03/2022;1,4728;-0,50%;-5,54%;-4,93%;0,678978816
Dólares Beliceños;22/03/2022;2,2078;-0,03%;-2,65%;-7,38%;0,452939578
Dólares canadienses;23/03/2022;1,384;-0,19%;-3,85%;-7,35%;0,722543353
Dólares de Brunéi;22/03/2022;1,4974;0,04%;-2,05%;-6,50%;0,667824229
Dólares de Hong Kong;23/03/2022;8,5948;-0,39%;-2,92%;-6,87%;0,116349421
Dólares namibios;23/03/2022;16,354;-0,48%;-3,99%;-7,51%;0,06114712
Dólares neozelandeses;23/03/2022;1,5822;-0,24%;-5,14%;-6,48%;0,632031349
Dólares Singapur;23/03/2022;1,4919;-0,25%;-2,19%;-6,49%;0,670286212
Dólares trinitense;21/03/2022;7,4591;0,53%;-2,51%;-7,26%;0,134064431
Dólares USA;23/03/2022;1,0985;-0,35%;-3,16%;-7,56%;0,910332271
Drams;23/03/2022;538,16;0,04%;-0,98%;-14,30%;0,001858183
Forints húngaros;23/03/2022;372,25;0,27%;4,20%;1,57%;0,002686367
Francos suizos;23/03/2022;1,0269;-0,06%;-1,55%;-7,20%;0,973804655
Grivnas;23/03/2022;32,2345;-2,82%;-2,03%;-2,34%;0,031022662
Guaranies;22/03/2022;7.678,83;-0,15%;-2,45%;-1,78%;0,000130228
